firstName,lastName,attempts,completions,interceptions,touchdowns,yards,whenPlayed,ourTeam,ourScore,theirTeam,theirScore
Rutherford,Hayes,10,6,0,1,98,2010-05-26,Montgomery Music,7,Grand Rapids Gamers,34
Dick,Nixon,23,10,0,0,95,2010-06-02,Montgomery Music,29,Huntington Beach Harriers,10
Rutherford,Hayes,11,9,0,3,161,2010-06-02,Montgomery Music,29,Huntington Beach Harriers,10
Dick,Nixon,36,15,0,1,127,2010-06-09,Montgomery Music,9,Mobile Misfits,3
Dick,Nixon,24,11,0,2,122,2010-06-16,Montgomery Music,32,Boise Bearcats,13
Rutherford,Hayes,10,7,0,2,137,2010-06-16,Montgomery Music,32,Boise Bearcats,13
Dick,Nixon,34,16,0,1,165,2010-06-23,Montgomery Music,10,Modesto Misanthropes,21
Dick,Nixon,29,13,0,1,131,2010-06-30,Montgomery Music,33,Fremont Firebugs,23
Rutherford,Hayes,8,6,0,2,105,2010-06-30,Montgomery Music,33,Fremont Firebugs,23
Sam,Grant,35,9,1,0,46,2010-03-24,Spokane Stallions,18,Richmond Roustabouts,37
Millard,Fillmore,3,1,0,1,8,2010-03-24,Spokane Stallions,18,Richmond Roustabouts,37
Sam,Grant,27,7,1,1,28,2010-03-31,Spokane Stallions,18,Yonkers Yellowjackets,10
Sam,Grant,32,7,1,1,35,2010-04-07,Spokane Stallions,10,Shreveport Seamen,9
Sam,Grant,29,8,1,0,41,2010-04-14,Spokane Stallions,1,San Bernardino Stalkers,0
Sam,Grant,37,11,1,1,43,2010-04-21,Spokane Stallions,18,Tacoma Touchdown-Scorers,7
Sam,Grant,29,10,1,1,38,2010-04-28,Spokane Stallions,11,Glendale Centers,13
Millard,Fillmore,3,1,0,0,11,2010-04-28,Spokane Stallions,11,Glendale Centers,13
Sam,Grant,24,7,1,0,25,2010-05-05,Spokane Stallions,15,Des Moines Desperadoes,41
Millard,Fillmore,3,1,0,1,11,2010-05-05,Spokane Stallions,15,Des Moines Desperadoes,41
Sam,Grant,38,12,1,0,50,2010-05-12,Spokane Stallions,1,Augusta Autocrats,14
Sam,Grant,22,4,1,0,20,2010-05-19,Spokane Stallions,8,Grand Rapids Gamers,30
Millard,Fillmore,5,2,0,1,17,2010-05-19,Spokane Stallions,8,Grand Rapids Gamers,30
Sam,Grant,17,4,1,1,15,2010-05-26,Spokane Stallions,19,Huntington Beach Harriers,0
Millard,Fillmore,7,3,0,1,32,2010-05-26,Spokane Stallions,19,Huntington Beach Harriers,0
Sam,Grant,25,4,1,1,16,2010-06-02,Spokane Stallions,7,Mobile Misfits,6
Millard,Fillmore,3,1,0,0,11,2010-06-02,Spokane Stallions,7,Mobile Misfits,6
Sam,Grant,33,9,1,1,42,2010-06-09,Spokane Stallions,7,Boise Bearcats,17
Sam,Grant,33,8,1,0,33,2010-06-16,Spokane Stallions,6,Modesto Misanthropes,14
Sam,Grant,18,5,1,0,21,2010-06-23,Spokane Stallions,9,Fremont Firebugs,13
Millard,Fillmore,11,6,0,1,61,2010-06-23,Spokane Stallions,9,Fremont Firebugs,13
Sam,Grant,30,9,1,1,41,2010-06-30,Spokane Stallions,17,Montgomery Music,0
Millard,Fillmore,3,1,0,0,10,2010-06-30,Spokane Stallions,17,Montgomery Music,0
William,McKinley,27,20,0,4,276,2010-03-24,Richmond Roustabouts,39,Yonkers Yellowjackets,6
William,McKinley,25,21,0,6,373,2010-03-31,Richmond Roustabouts,49,Shreveport Seamen,34
William,McKinley,30,20,0,4,316,2010-04-07,Richmond Roustabouts,31,San Bernardino Stalkers,35
William,McKinley,38,32,0,9,615,2010-04-14,Richmond Roustabouts,64,Tacoma Touchdown-Scorers,21
William,McKinley,28,23,0,4,344,2010-04-21,Richmond Roustabouts,28,Glendale Centers,28
William,McKinley,32,23,0,6,369,2010-04-28,Richmond Roustabouts,42,Des Moines Desperadoes,34
Jim,Buchanan,4,2,0,0,22,2010-04-28,Richmond Roustabouts,42,Des Moines Desperadoes,34
William,McKinley,29,20,0,5,321,2010-05-05,Richmond Roustabouts,42,Augusta Autocrats,38
William,McKinley,30,20,0,6,380,2010-05-12,Richmond Roustabouts,47,Grand Rapids Gamers,16
William,McKinley,31,26,0,6,379,2010-05-19,Richmond Roustabouts,44,Huntington Beach Harriers,23
Jim,Buchanan,7,3,0,0,30,2010-05-19,Richmond Roustabouts,44,Huntington Beach Harriers,23
William,McKinley,27,21,0,3,288,2010-05-26,Richmond Roustabouts,35,Mobile Misfits,17
Jim,Buchanan,5,2,0,1,20,2010-05-26,Richmond Roustabouts,35,Mobile Misfits,17
William,McKinley,26,19,0,4,341,2010-06-02,Richmond Roustabouts,33,Boise Bearcats,7
William,McKinley,26,21,0,5,298,2010-06-09,Richmond Roustabouts,45,Modesto Misanthropes,37
William,McKinley,36,25,0,4,352,2010-06-16,Richmond Roustabouts,30,Fremont Firebugs,20
William,McKinley,30,25,0,5,412,2010-06-23,Richmond Roustabouts,45,Montgomery Music,9
William,McKinley,25,21,0,5,311,2010-06-30,Richmond Roustabouts,40,Spokane Stallions,6
Franklin,Roosevelt,30,22,0,5,349,2010-03-24,Yonkers Yellowjackets,36,Shreveport Seamen,35
Franklin,Roosevelt,31,19,0,4,258,2010-03-31,Yonkers Yellowjackets,35,San Bernardino Stalkers,38
Franklin,Roosevelt,26,18,0,2,218,2010-04-07,Yonkers Yellowjackets,14,Tacoma Touchdown-Scorers,31
Franklin,Roosevelt,33,20,0,3,238,2010-04-14,Yonkers Yellowjackets,31,Glendale Centers,21
Abe,Lincoln,4,2,0,0,26,2010-04-14,Yonkers Yellowjackets,31,Glendale Centers,21
Franklin,Roosevelt,34,26,0,5,342,2010-04-21,Yonkers Yellowjackets,48,Des Moines Desperadoes,38
Abe,Lincoln,2,1,0,1,15,2010-04-21,Yonkers Yellowjackets,48,Des Moines Desperadoes,38
Franklin,Roosevelt,32,22,0,3,321,2010-04-28,Yonkers Yellowjackets,33,Augusta Autocrats,41
Abe,Lincoln,6,4,0,0,55,2010-04-28,Yonkers Yellowjackets,33,Augusta Autocrats,41
Franklin,Roosevelt,26,18,0,3,289,2010-05-05,Yonkers Yellowjackets,40,Grand Rapids Gamers,30
Abe,Lincoln,3,1,0,1,12,2010-05-05,Yonkers Yellowjackets,40,Grand Rapids Gamers,30
Franklin,Roosevelt,37,25,0,4,359,2010-05-12,Yonkers Yellowjackets,31,Huntington Beach Harriers,37
Franklin,Roosevelt,24,16,0,3,227,2010-05-19,Yonkers Yellowjackets,36,Mobile Misfits,31
Abe,Lincoln,14,10,0,2,117,2010-05-19,Yonkers Yellowjackets,36,Mobile Misfits,31
Franklin,Roosevelt,25,14,0,2,193,2010-05-26,Yonkers Yellowjackets,27,Boise Bearcats,28
Abe,Lincoln,6,3,0,1,45,2010-05-26,Yonkers Yellowjackets,27,Boise Bearcats,28
Franklin,Roosevelt,21,15,0,3,201,2010-06-02,Yonkers Yellowjackets,24,Modesto Misanthropes,13
Abe,Lincoln,10,7,0,0,85,2010-06-02,Yonkers Yellowjackets,24,Modesto Misanthropes,13
Franklin,Roosevelt,39,23,0,3,293,2010-06-09,Yonkers Yellowjackets,26,Fremont Firebugs,30
Franklin,Roosevelt,21,14,0,3,173,2010-06-16,Yonkers Yellowjackets,30,Montgomery Music,30
Abe,Lincoln,7,4,0,1,54,2010-06-16,Yonkers Yellowjackets,30,Montgomery Music,30
Franklin,Roosevelt,32,21,0,3,249,2010-06-23,Yonkers Yellowjackets,26,Spokane Stallions,9
Abe,Lincoln,4,2,0,0,26,2010-06-23,Yonkers Yellowjackets,26,Spokane Stallions,9
Franklin,Roosevelt,37,21,0,4,264,2010-06-30,Yonkers Yellowjackets,38,Richmond Roustabouts,9
Cal,Coolidge,33,15,1,1,95,2010-03-24,Shreveport Seamen,12,San Bernardino Stalkers,35
Cal,Coolidge,26,11,1,1,82,2010-03-31,Shreveport Seamen,16,Tacoma Touchdown-Scorers,21
Ben,Harrison,4,3,0,0,47,2010-03-31,Shreveport Seamen,16,Tacoma Touchdown-Scorers,21
Cal,Coolidge,37,10,1,0,75,2010-04-07,Shreveport Seamen,12,Glendale Centers,34
Cal,Coolidge,38,15,1,0,107,2010-04-14,Shreveport Seamen,8,Des Moines Desperadoes,28
Cal,Coolidge,38,15,1,0,89,2010-04-21,Shreveport Seamen,4,Augusta Autocrats,28
Cal,Coolidge,32,11,1,1,64,2010-04-28,Shreveport Seamen,19,Grand Rapids Gamers,16
Cal,Coolidge,27,10,1,0,78,2010-05-05,Shreveport Seamen,6,Huntington Beach Harriers,21
Ben,Harrison,2,1,0,0,15,2010-05-05,Shreveport Seamen,6,Huntington Beach Harriers,21
Cal,Coolidge,36,10,1,1,65,2010-05-12,Shreveport Seamen,17,Mobile Misfits,9
Cal,Coolidge,26,10,1,1,65,2010-05-19,Shreveport Seamen,12,Boise Bearcats,31
Cal,Coolidge,31,10,1,0,58,2010-05-26,Shreveport Seamen,3,Modesto Misanthropes,35
Cal,Coolidge,18,5,1,1,39,2010-06-02,Shreveport Seamen,26,Fremont Firebugs,38
Ben,Harrison,8,6,0,2,92,2010-06-02,Shreveport Seamen,26,Fremont Firebugs,38
Cal,Coolidge,21,8,1,0,55,2010-06-09,Shreveport Seamen,23,Montgomery Music,7
Ben,Harrison,11,8,0,2,119,2010-06-09,Shreveport Seamen,23,Montgomery Music,7
Cal,Coolidge,32,12,1,0,79,2010-06-16,Shreveport Seamen,2,Spokane Stallions,6
Cal,Coolidge,33,13,1,1,81,2010-06-23,Shreveport Seamen,16,Richmond Roustabouts,44
Ben,Harrison,3,2,0,1,38,2010-06-23,Shreveport Seamen,16,Richmond Roustabouts,44
Cal,Coolidge,25,9,1,0,71,2010-06-30,Shreveport Seamen,8,Yonkers Yellowjackets,37
Ben,Harrison,5,3,0,0,51,2010-06-30,Shreveport Seamen,8,Yonkers Yellowjackets,37
Chet,Arthur,36,19,0,2,201,2010-03-24,San Bernardino Stalkers,26,Tacoma Touchdown-Scorers,23
Chet,Arthur,25,12,0,2,127,2010-03-31,San Bernardino Stalkers,19,Glendale Centers,13
Chet,Arthur,24,16,0,3,208,2010-04-07,San Bernardino Stalkers,28,Des Moines Desperadoes,20
Warren,Harding,4,1,1,0,7,2010-04-07,San Bernardino Stalkers,28,Des Moines Desperadoes,20
Chet,Arthur,28,17,0,2,187,2010-04-14,San Bernardino Stalkers,24,Augusta Autocrats,41
Chet,Arthur,38,25,0,3,343,2010-04-21,San Bernardino Stalkers,26,Grand Rapids Gamers,44
Chet,Arthur,25,17,0,2,211,2010-04-28,San Bernardino Stalkers,14,Huntington Beach Harriers,20
Chet,Arthur,19,13,0,2,187,2010-05-05,San Bernardino Stalkers,26,Mobile Misfits,27
Warren,Harding,11,4,1,0,35,2010-05-05,San Bernardino Stalkers,26,Mobile Misfits,27
Chet,Arthur,20,11,0,1,150,2010-05-12,San Bernardino Stalkers,22,Boise Bearcats,37
Warren,Harding,5,2,1,1,14,2010-05-12,San Bernardino Stalkers,22,Boise Bearcats,37
Chet,Arthur,25,15,0,2,161,2010-05-19,San Bernardino Stalkers,21,Modesto Misanthropes,6
Chet,Arthur,37,20,0,3,234,2010-05-26,San Bernardino Stalkers,24,Fremont Firebugs,27
Chet,Arthur,28,15,0,1,182,2010-06-02,San Bernardino Stalkers,17,Montgomery Music,9
Chet,Arthur,31,16,0,3,197,2010-06-09,San Bernardino Stalkers,31,Spokane Stallions,38
Warren,Harding,1,0,1,0,0,2010-06-09,San Bernardino Stalkers,31,Spokane Stallions,38
Chet,Arthur,23,14,0,2,172,2010-06-16,San Bernardino Stalkers,23,Richmond Roustabouts,21
Warren,Harding,14,6,1,0,44,2010-06-16,San Bernardino Stalkers,23,Richmond Roustabouts,21
Chet,Arthur,26,15,0,2,185,2010-06-23,San Bernardino Stalkers,14,Yonkers Yellowjackets,20
Chet,Arthur,37,21,0,3,233,2010-06-30,San Bernardino Stalkers,27,Shreveport Seamen,21
Jack,Kennedy,33,14,1,1,108,2010-03-24,Tacoma Touchdown-Scorers,13,Glendale Centers,14
Jack,Kennedy,35,14,1,0,101,2010-03-31,Tacoma Touchdown-Scorers,11,Des Moines Desperadoes,7
Jack,Kennedy,26,12,1,0,102,2010-04-07,Tacoma Touchdown-Scorers,10,Augusta Autocrats,24
Jack,Kennedy,38,14,1,0,103,2010-04-14,Tacoma Touchdown-Scorers,3,Grand Rapids Gamers,31
Jack,Kennedy,32,13,1,1,114,2010-04-21,Tacoma Touchdown-Scorers,21,Huntington Beach Harriers,6
James,Madison,2,1,0,1,12,2010-04-21,Tacoma Touchdown-Scorers,21,Huntington Beach Harriers,6
Jack,Kennedy,29,12,1,1,106,2010-04-28,Tacoma Touchdown-Scorers,11,Mobile Misfits,17
Jack,Kennedy,39,14,1,0,110,2010-05-05,Tacoma Touchdown-Scorers,10,Boise Bearcats,6
Jack,Kennedy,26,11,1,0,78,2010-05-12,Tacoma Touchdown-Scorers,6,Modesto Misanthropes,28
Jack,Kennedy,27,8,1,0,67,2010-05-19,Tacoma Touchdown-Scorers,19,Fremont Firebugs,34
James,Madison,7,4,0,1,52,2010-05-19,Tacoma Touchdown-Scorers,19,Fremont Firebugs,34
Jack,Kennedy,35,11,1,1,73,2010-05-26,Tacoma Touchdown-Scorers,16,Montgomery Music,24
Jack,Kennedy,23,11,1,0,92,2010-06-02,Tacoma Touchdown-Scorers,19,Spokane Stallions,21
James,Madison,15,8,0,1,104,2010-06-02,Tacoma Touchdown-Scorers,19,Spokane Stallions,21
Jack,Kennedy,25,10,1,0,82,2010-06-09,Tacoma Touchdown-Scorers,5,Richmond Roustabouts,0
James,Madison,1,0,0,0,0,2010-06-09,Tacoma Touchdown-Scorers,5,Richmond Roustabouts,0
Jack,Kennedy,37,11,1,0,75,2010-06-16,Tacoma Touchdown-Scorers,4,Yonkers Yellowjackets,28
Jack,Kennedy,28,9,1,0,65,2010-06-23,Tacoma Touchdown-Scorers,3,Shreveport Seamen,6
Jack,Kennedy,25,9,1,0,75,2010-06-30,Tacoma Touchdown-Scorers,12,San Bernardino Stalkers,23
James,Monroe,29,16,0,3,202,2010-03-24,Glendale Centers,34,Des Moines Desperadoes,17
Jimmy,Carter,6,4,0,1,47,2010-03-24,Glendale Centers,34,Des Moines Desperadoes,17
James,Monroe,39,28,0,4,434,2010-03-31,Glendale Centers,36,Augusta Autocrats,13
James,Monroe,37,27,0,3,311,2010-04-07,Glendale Centers,27,Grand Rapids Gamers,9
James,Monroe,36,25,0,4,285,2010-04-14,Glendale Centers,32,Huntington Beach Harriers,37
Jimmy,Carter,2,1,0,0,13,2010-04-14,Glendale Centers,32,Huntington Beach Harriers,37
James,Monroe,27,19,0,2,253,2010-04-21,Glendale Centers,26,Mobile Misfits,14
James,Monroe,29,19,0,3,294,2010-04-28,Glendale Centers,25,Boise Bearcats,20
James,Monroe,19,13,0,1,151,2010-05-05,Glendale Centers,11,Modesto Misanthropes,30
Jimmy,Carter,5,3,0,0,39,2010-05-05,Glendale Centers,11,Modesto Misanthropes,30
James,Monroe,23,13,0,2,170,2010-05-12,Glendale Centers,22,Fremont Firebugs,17
Jimmy,Carter,7,4,0,1,48,2010-05-12,Glendale Centers,22,Fremont Firebugs,17
James,Monroe,35,23,0,4,333,2010-05-19,Glendale Centers,40,Montgomery Music,28
James,Monroe,31,17,0,3,242,2010-05-26,Glendale Centers,23,Spokane Stallions,6
James,Monroe,19,14,0,2,220,2010-06-02,Glendale Centers,16,Richmond Roustabouts,13
Jimmy,Carter,9,6,0,0,78,2010-06-02,Glendale Centers,16,Richmond Roustabouts,13
James,Monroe,33,21,0,3,250,2010-06-09,Glendale Centers,21,Yonkers Yellowjackets,16
Jimmy,Carter,4,2,0,0,25,2010-06-09,Glendale Centers,21,Yonkers Yellowjackets,16
James,Monroe,29,20,0,4,307,2010-06-16,Glendale Centers,32,Shreveport Seamen,34
James,Monroe,25,14,0,2,187,2010-06-23,Glendale Centers,25,San Bernardino Stalkers,38
James,Monroe,32,22,0,4,334,2010-06-30,Glendale Centers,35,Tacoma Touchdown-Scorers,34
Harry,Truman,27,18,0,5,312,2010-03-24,Des Moines Desperadoes,43,Augusta Autocrats,6
Harry,Truman,34,24,0,6,423,2010-03-31,Des Moines Desperadoes,53,Grand Rapids Gamers,37
Harry,Truman,34,24,0,6,417,2010-04-07,Des Moines Desperadoes,45,Huntington Beach Harriers,41
Zach,Taylor,1,0,0,0,0,2010-04-07,Des Moines Desperadoes,45,Huntington Beach Harriers,41
Harry,Truman,39,33,0,8,580,2010-04-14,Des Moines Desperadoes,62,Mobile Misfits,24
Harry,Truman,39,27,0,5,394,2010-04-21,Des Moines Desperadoes,38,Boise Bearcats,24
Harry,Truman,39,32,0,8,577,2010-04-28,Des Moines Desperadoes,65,Modesto Misanthropes,3
Harry,Truman,25,21,0,5,394,2010-05-05,Des Moines Desperadoes,37,Fremont Firebugs,31
Harry,Truman,36,26,0,7,458,2010-05-12,Des Moines Desperadoes,56,Montgomery Music,44
Harry,Truman,34,28,0,6,387,2010-05-19,Des Moines Desperadoes,45,Spokane Stallions,6
Harry,Truman,33,29,0,5,420,2010-05-26,Des Moines Desperadoes,36,Richmond Roustabouts,16
Harry,Truman,26,18,0,4,255,2010-06-02,Des Moines Desperadoes,39,Yonkers Yellowjackets,37
Zach,Taylor,4,3,0,1,40,2010-06-02,Des Moines Desperadoes,39,Yonkers Yellowjackets,37
Harry,Truman,29,25,0,5,371,2010-06-09,Des Moines Desperadoes,40,Shreveport Seamen,9
Harry,Truman,21,17,0,4,276,2010-06-16,Des Moines Desperadoes,38,San Bernardino Stalkers,35
Zach,Taylor,11,7,0,1,102,2010-06-16,Des Moines Desperadoes,38,San Bernardino Stalkers,35
Harry,Truman,32,27,0,5,386,2010-06-23,Des Moines Desperadoes,39,Tacoma Touchdown-Scorers,21
Harry,Truman,28,22,0,5,426,2010-06-30,Des Moines Desperadoes,43,Glendale Centers,7
Teddy,Roosevelt,28,11,0,2,124,2010-03-24,Augusta Autocrats,21,Grand Rapids Gamers,10
Teddy,Roosevelt,29,13,0,1,149,2010-03-31,Augusta Autocrats,7,Huntington Beach Harriers,6
Teddy,Roosevelt,34,19,0,2,175,2010-04-07,Augusta Autocrats,15,Mobile Misfits,13
Teddy,Roosevelt,25,10,0,0,90,2010-04-14,Augusta Autocrats,0,Boise Bearcats,20
Teddy,Roosevelt,27,15,0,2,158,2010-04-21,Augusta Autocrats,26,Modesto Misanthropes,24
Teddy,Roosevelt,28,14,0,1,129,2010-04-28,Augusta Autocrats,9,Fremont Firebugs,3
Teddy,Roosevelt,25,10,0,0,101,2010-05-05,Augusta Autocrats,25,Montgomery Music,0
Tom,Jefferson,13,8,0,2,104,2010-05-05,Augusta Autocrats,25,Montgomery Music,0
Teddy,Roosevelt,31,17,0,2,200,2010-05-12,Augusta Autocrats,18,Spokane Stallions,35
Teddy,Roosevelt,30,14,0,2,153,2010-05-19,Augusta Autocrats,22,Richmond Roustabouts,35
Teddy,Roosevelt,30,14,0,1,127,2010-05-26,Augusta Autocrats,23,Yonkers Yellowjackets,38
Tom,Jefferson,6,4,0,1,63,2010-05-26,Augusta Autocrats,23,Yonkers Yellowjackets,38
Teddy,Roosevelt,30,13,0,2,123,2010-06-02,Augusta Autocrats,18,Shreveport Seamen,6
Teddy,Roosevelt,24,12,0,1,136,2010-06-09,Augusta Autocrats,14,San Bernardino Stalkers,16
Tom,Jefferson,12,9,0,1,142,2010-06-09,Augusta Autocrats,14,San Bernardino Stalkers,16
Teddy,Roosevelt,29,15,0,2,159,2010-06-16,Augusta Autocrats,15,Tacoma Touchdown-Scorers,41
Teddy,Roosevelt,27,13,0,1,113,2010-06-23,Augusta Autocrats,11,Glendale Centers,44
Teddy,Roosevelt,31,17,0,2,182,2010-06-30,Augusta Autocrats,20,Des Moines Desperadoes,20
Andrew,Johnson,34,20,0,2,243,2010-03-24,Grand Rapids Gamers,14,Huntington Beach Harriers,9
Andrew,Johnson,29,17,0,3,240,2010-03-31,Grand Rapids Gamers,32,Mobile Misfits,3
Andrew,Johnson,22,12,0,3,186,2010-04-07,Grand Rapids Gamers,33,Boise Bearcats,20
Ike,Eisenhower,11,4,0,1,38,2010-04-07,Grand Rapids Gamers,33,Boise Bearcats,20
Andrew,Johnson,22,13,0,3,179,2010-04-14,Grand Rapids Gamers,28,Modesto Misanthropes,27
Ike,Eisenhower,3,1,0,1,9,2010-04-14,Grand Rapids Gamers,28,Modesto Misanthropes,27
